Nak≥o nad Noteciπ ñ miasto;041003 4;;;
Nak≥o nad Noteciπ ñ obszar wiejski;041003 5;;;
Sadki;041004 2;;;
Szubin;041005 3;;;
Szubin ñ miasto;041005 4;;;
Szubin ñ obszar wiejski;041005 5;;;
Powiat radziejowski;;;;
Gmina miejska:;;;;
RadziejÛw;041101 1;;;
Gminy:;;;;
BytoÒ;041102 2;;;
Dobre;041103 2;;;
OsiÍciny;041104 2;;;
PiotrkÛw Kujawski;041105 3;;;
PiotrkÛw Kujawski ñ miasto;041105 4;;;
PiotrkÛw Kujawski ñ obszar wiejski;041105 5;;;
RadziejÛw;041106 2;;;
TopÛlka;041107 2;;;
Powiat rypiÒski;;;;
Gmina miejska:;;;;
Rypin;041201 1;;;
Gminy:;;;;
Brzuze;041202 2;;;
Rogowo;041203 2;;;
Rypin;041204 2;;;
Skrwilno;041205 2;;;
Wπpielsk;041206 2;;;
Powiat sÍpoleÒski;;;;
Gminy:;;;;
KamieÒ KrajeÒski;041301 3;;;
KamieÒ KrajeÒski ñ miasto;041301 4;;;
KamieÒ KrajeÒski ñ obszar wiejski;041301 5;;;
SÍpÛlno KrajeÒskie;041302 3;;;
SÍpÛlno KrajeÒskie ñ miasto;041302 4;;;
SÍpÛlno KrajeÒskie ñ obszar wiejski;041302 5;;;
Soúno;041303 2;;;
WiÍcbork;041304 3;;;
WiÍcbork ñ miasto;041304 4;;;
WiÍcbork ñ obszar wiejski;041304 5;;;
Powiat úwiecki;;;;
Gminy:;;;;
Bukowiec;041401 2;;;
Dragacz;041402 2;;;
Drzycim;041403 2;;;
Jeøewo;041404 2;;;
Lniano;041405 2;;;
Nowe;041406 3;;;
Nowe ñ miasto;041406 4;;;
Nowe ñ obszar wiejski;041406 5;;;
Osie;041407 2;;;
Pruszcz;041408 2;;;
åwiecie;041409 3;;;
åwiecie ñ miasto;041409 4;;;
åwiecie ñ obszar wiejski;041409 5;;;
åwiekatowo;041410 2;;;
Warlubie;041411 2;;;
Powiat toruÒski;;;;
Gmina miejska:;;;;
Che≥møa;041501 1;;;
Gminy:;;;;
Che≥møa;041502 2;;;
Czernikowo;041503 2;;;
Lubicz;041504 2;;;
£ubianka;041505 2;;;
£ysomice;041506 2;;;
Obrowo;041507 2;;;
Wielka Nieszawka;041508 2;;;
Z≥awieú Wielka;041509 2;;;
Powiat tucholski;;;;
Gminy:;;;;
Cekcyn;041601 2;;;
Gostycyn;041602 2;;;
KÍsowo;041603 2;;;
Lubiewo;041604 2;;;
åliwice;041605 2;;;
Tuchola;041606 3;;;
Tuchola ñ miasto;041606 4;;;
Tuchola ñ obszar wiejski;041606 5;;;
Powiat wπbrzeski;;;;
Gmina miejska:;;;;
Wπbrzeüno;041701 1;;;
Gminy:;;;;
DÍbowa £πka;041702 2;;;
Ksiπøki;041703 2;;;
P≥uønica;041704 2;;;
RyÒsk;041705 2;do 31.12.2016 Wπbrzeüno;;
Powiat w≥oc≥awski;;;;
Gmina miejska:;;;;
Kowal;041801 1;;;
Gminy:;;;;
Baruchowo;041802 2;;;
Boniewo;041803 2;;;
BrzeúÊ Kujawski;041804 3;;;
BrzeúÊ Kujawski ñ miasto;041804 4;;;
BrzeúÊ Kujawski ñ obszar wiejski;041804 5;;;
ChoceÒ;041805 2;;;
Chodecz;041806 3;;;
Chodecz ñ miasto;041806 4;;;
Chodecz ñ obszar wiejski;041806 5;;;
Fabianki;041807 2;;;
Izbica Kujawska;041808 3;;;
Izbica Kujawska ñ miasto;041808 4;;;
Izbica Kujawska ñ obszar wiejski;041808 5;;;
Kowal;041809 2;;;
Lubanie;041810 2;;;
LubieÒ Kujawski;041811 3;;;
LubieÒ Kujawski ñ miasto;041811 4;;;
LubieÒ Kujawski ñ obszar wiejski;041811 5;;;
Lubraniec;041812 3;;;
Lubraniec ñ miasto;041812 4;;;
Lubraniec ñ obszar wiejski;041812 5;;;
W≥oc≥awek;041813 2;;;
Powiat øniÒski;;;;
Gminy:;;;;
Barcin;041901 3;;;
Barcin ñ miasto;041901 4;;;
Barcin ñ obszar wiejski;041901 5;;;
Gπsawa;041902 2;;;
Janowiec Wielkopolski;041903 3;;;
Janowiec Wielkopolski ñ miasto;041903 4;;;
Janowiec Wielkopolski ñ obszar wiejski;041903 5;;;
£abiszyn;041904 3;;;
£abiszyn ñ miasto;041904 4;;;
£abiszyn ñ obszar wiejski;041904 5;;;
Rogowo;041905 2;;;
Ønin;041906 3;;;
Ønin ñ miasto;041906 4;;;
Ønin ñ obszar wiejski;041906 5;;;
Miasta na prawach powiatu:;;;;
Powiat m. Bydgoszcz;;;;
M. Bydgoszcz;046101 1;;;
Powiat m. Grudziπdz;;;;
M. Grudziπdz;046201 1;;;
Powiat m. ToruÒ;;;;
M. ToruÒ;046301 1;;;
Powiat m. W≥oc≥awek;;;;
M. W≥oc≥awek;046401 1;;;
WOJEW”DZTWO LUBELSKIE;;;;
Powiat bialski;;;;
Gminy miejskie:;;;;
MiÍdzyrzec Podlaski;060101 1;;;
Terespol;060102 1;;;
Gminy:;;;;
Bia≥a Podlaska;060103 2;;;
DrelÛw;060104 2;;;
JanÛw Podlaski;060105 2;;;
KodeÒ;060106 2;;;
KonstantynÛw;060107 2;;;
Leúna Podlaska;060108 2;;;
£omazy;060109 2;;;
MiÍdzyrzec Podlaski;060110 2;;;
Piszczac;060111 2;;;
Rokitno;060112 2;;;
Rossosz;060113 2;;;
S≥awatycze;060114 2;;;
SosnÛwka;060115 2;;;
Terespol;060116 2;;;
Tuczna;060117 2;;;
Wisznice;060118 2;;;
Zalesie;060119 2;;;
Powiat bi≥gorajski;;;;
Gmina miejska:;;;;
Bi≥goraj;060201 1;;;
Gminy:;;;;
AleksandrÛw;060202 2;;;
Bi≥goraj;060203 2;;;
Biszcza;060204 2;;;
Frampol;060205 3;;;
Frampol ñ miasto;060205 4;;;
Frampol ñ obszar wiejski;060205 5;;;
Goraj;060206 2;kod wygas≥ 31.12.2020;;
Goraj;060206 3;obowiπzuje od 01.01.2021;;
Goraj ñ miasto;060206 4;obowiπzuje od 01.01.2021;;
Goraj ñ obszar wiejski;060206 5;obowiπzuje od 01.01.2021;;
JÛzefÛw;060207 3;;;
JÛzefÛw ñ miasto;060207 4;;;
JÛzefÛw ñ obszar wiejski;060207 5;;;
KsiÍøpol;060208 2;;;
£ukowa;060209 2;;;
Obsza;060210 2;;;
Potok GÛrny;060211 2;;;
TarnogrÛd;060212 3;;;
TarnogrÛd ñ miasto;060212 4;;;
TarnogrÛd ñ obszar wiejski;060212 5;;;
Tereszpol;060213 2;;;
Turobin;060214 2;;;
Powiat che≥mski;;;;
Gmina miejska:;;;;
Rejowiec Fabryczny;060301 1;;;
Gminy:;;;;
Bia≥opole;060302 2;;;
Che≥m;060303 2;;;
Dorohusk;060304 2;;;
Dubienka;060305 2;;;
KamieÒ;060306 2;;;
Leúniowice;060307 2;;;
Rejowiec;060315 2;kod wygas≥ 31.12.2016;;
Rejowiec;060315 3;obowiπzuje od 01.01.2017;;
Rejowiec ñ miasto;060315 4;obowiπzuje od 01.01.2017;;
Rejowiec ñ obszar wiejski;060315 5;obowiπzuje od 01.01.2017;;
Rejowiec Fabryczny;060308 2;;;
Ruda-Huta;060309 2;;;
Sawin;060310 2;;;
Siedliszcze;060311 2;kod wygas≥ 31.12.2015;;
Siedliszcze;060311 3;obowiπzuje od 01.01.2016;;
Siedliszcze ñ miasto;060311 4;obowiπzuje od 01.01.2016;;
Siedliszcze ñ obszar wiejski;060311 5;obowiπzuje od 01.01.2016;;
Wierzbica;060312 2;;;
Wojs≥awice;060313 2;;;
Ømudü;060314 2;;;
Powiat hrubieszowski;;;;
Gmina miejska:;;;;
HrubieszÛw;060401 1;;;
Gminy:;;;;
Do≥hobyczÛw;060402 2;;;
Horod≥o;060403 2;;;
HrubieszÛw;060404 2;;;
Mircze;060405 2;;;
Trzeszczany;060406 2;;;
Uchanie;060407 2;;;
Werbkowice;060408 2;;;
Powiat janowski;;;;
Gminy:;;;;
Batorz;060501 2;;;
ChrzanÛw;060502 2;;;
Dzwola;060503 2;;;
GodziszÛw;060504 2;;;
JanÛw Lubelski;060505 3;;;
JanÛw Lubelski ñ miasto;060505 4;;;
JanÛw Lubelski ñ obszar wiejski;060505 5;;;
Modliborzyce;060506 2;kod wygas≥ 31.12.2013;;
Modliborzyce;060506 3;obowiπzuje od 01.01.2014;;
Modliborzyce ñ miasto;060506 4;obowiπzuje od 01.01.2014;;
Modliborzyce ñ obszar wiejski;060506 5;obowiπzuje od 01.01.2014;;
Potok Wielki;060507 2;;;
Powiat krasnostawski;;;;
Gmina miejska:;;;;
Krasnystaw;060601 1;;;
Gminy:;;;;
Fajs≥awice;060602 2;;;
GorzkÛw;060603 2;;;
